source,group,function,value,full_id,criterion_path,n_samples,mean_ns,ci_lo_ns,ci_hi_ns
aws,N1024/ballot,create,,N1024/ballot/create,N1024_ballot/create,50,42433622.826000005,42300987.036450006,42567248.46215
aws,N1024/ballot,verify,,N1024/ballot/verify,N1024_ballot/verify,50,10635317.019845467,10609603.625553397,10662232.591736801
aws,N1024/dkg,2of3,,N1024/dkg/2of3,N1024_dkg/2of3,100,1061560.8671206133,1057562.4278823233,1065658.491028533
aws,N1024/tally,full_pipeline,,N1024/tally/full_pipeline,N1024_tally/full_pipeline,10,888000644.5714287,883991907.9142857,892799746.4
aws,N1024/tally,serial_decrypt_per_tallier,,N1024/tally/serial_decrypt_per_tallier,N1024_tally/serial_decrypt_per_tallier,10,118223124.68431373,117773187.57647058,118680463.61568627
aws,N1024/verify_batch,,1,N1024/verify_batch/1,N1024_verify_batch/1,10,10624022.545907473,10599390.610596087,10649969.974884342
aws,N1024/verify_batch,,10,N1024/verify_batch/10,N1024_verify_batch/10,10,107264577.46551724,106779885.98586208,107743983.10344824
aws,N1024/verify_batch,,100,N1024/verify_batch/100,N1024_verify_batch/100,10,1072890306.2000002,1068073259.8341668,1077924734.4683332
aws,N1024/verify_batch,,50,N1024/verify_batch/50,N1024_verify_batch/50,10,537908030.8833333,536158226.3804167,539622507.7991667
aws,N1024/verify_batch_encval,batch,1,N1024/verify_batch_encval/batch/1,N1024_verify_batch_encval/batch/1,10,377604.3250726285,376017.960054945,379377.57087564736
aws,N1024/verify_batch_encval,batch,10,N1024/verify_batch_encval/batch/10,N1024_verify_batch_encval/batch/10,10,3260295.356988082,3254449.7832448534,3266927.9276273022
aws,N1024/verify_batch_encval,batch,100,N1024/verify_batch_encval/batch/100,N1024_verify_batch_encval/batch/100,10,27560852.806363635,27488055.043545462,27635454.045522735
aws,N1024/verify_batch_encval,batch,50,N1024/verify_batch_encval/batch/50,N1024_verify_batch_encval/batch/50,10,13951555.964351853,13892652.850462964,14020456.276273148
aws,N1024/verify_batch_encval,individual,1,N1024/verify_batch_encval/individual/1,N1024_verify_batch_encval/individual/1,10,896204.1987083207,892498.9203664765,900554.3154791229
aws,N1024/verify_batch_encval,individual,10,N1024/verify_batch_encval/individual/10,N1024_verify_batch_encval/individual/10,10,8998299.157357357,8970306.980480481,9029852.430645647
aws,N1024/verify_batch_encval,individual,100,N1024/verify_batch_encval/individual/100,N1024_verify_batch_encval/individual/100,10,90643146.37352943,90239364.58367646,91092091.46117647
aws,N1024/verify_batch_encval,individual,50,N1024/verify_batch_encval/individual/50,N1024_verify_batch_encval/individual/50,10,45182858.45074627,44981176.11940298,45389703.83283582
aws,N1024/voter,registration,,N1024/voter/registration,N1024_voter/registration,200,117582.22749905888,117139.79470739409,118056.05480924949
aws,N16/ballot,create,,N16/ballot/create,N16_ballot/create,50,3010908.831987672,3000394.2241176385,3021304.275949651
aws,N16/ballot,verify,,N16/ballot/verify,N16_ballot/verify,50,1622497.9217140905,1616055.2568716437,1629439.3619211826
aws,N16/dkg,2of3,,N16/dkg/2of3,N16_dkg/2of3,100,1130062.0920712925,1125972.8486537938,1134132.7285031404
aws,N16/tally,full_pipeline,,N16/tally/full_pipeline,N16_tally/full_pipeline,10,14569728.561650485,14536838.045813106,14608963.614138346
aws,N16/tally,serial_decrypt_per_tallier,,N16/tally/serial_decrypt_per_tallier,N16_tally/serial_decrypt_per_tallier,10,1832161.3891900412,1827120.4753230382,1837953.675547589
